title,artist_name,artist_date,artwork_date,accession_num,art_medium,info_link,img_link
A Vignette of Life on the Frontier,Jiao Bingzhen,"(Chinese, active c. 1670–1726)",c. 1717–22,1979.18 ,Folding fan; ink and color on paper,https://www.clevelandart.org/art/1979.18,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918FBC149EE181EEE1F86A0DE7D2DED5321DA745E3A7FE041B20&s=24247294&se=1573793027&v=4&f=1979.18_o10.jpg
Looking for a Monastery in the Misty Mountains,Chen Chun,"(Chinese, 1483–1544)",1500–1544,1979.28 ,"Hanging scroll, ink on paper",https://www.clevelandart.org/art/1979.28,https://piction.clevelandart.org/cma/ump.di?e=12CA595842B6F82B0D7F67D19C4F32234F64096204DAE5AADF2BB515B89F9538&s=24247294&se=1575394594&v=0&f=1979.28_o10.jpg
Rain-coming Pavilion by the Stone Bridge at Mt. Tiantai,Dai Xi,"(Chinese, 1801–1860)",1848,1979.54 ,"Handscroll, ink on paper",https://www.clevelandart.org/art/1979.54,https://piction.clevelandart.org/cma/ump.di?e=02DA736077B04739B9F3BA698DC70B920F6CF70D579651502AD52896E6535CCA&s=24247294&se=1575394594&v=4&f=%5Cd1967%5Cu187819672%5C1979.54_o10.jpg
Nine Dragon Pool,Mei Qing,"(Chinese, 1623–1697)",1690s,1979.50 ,"Hanging scroll, ink and light color on paper",https://www.clevelandart.org/art/1979.50,https://piction.clevelandart.org/cma/ump.di?e=01C5ADF2D598CDDE0F0C6897976BDFE8376A6357D3BAF9BDEBA96DD5DF5CABC2&s=24247294&se=1575394594&v=6&f=1979.50_o10.jpg
Squirrels on the Chestnut Tree,Ge Shuying,"(Chinese, active 1300s)",1300s,1979.70 ,Hanging scroll; ink on paper,https://www.clevelandart.org/art/1979.70,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512F5D7102379F5B49CEFB4430665A841A7112225F377FDCBAED&s=24247294&se=1573793027&v=2&f=1979.70_o10.jpg
Arc Pendant with Human-like Figure,,,c. 1050–771 BC,1979.74 ,Nephrite,https://www.clevelandart.org/art/1979.74,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A9F97D0903BF604C2728AF87F3E1564A27291BB73F1316847&s=24247294&se=1575394594&v=0&f=1979.74_o10.jpg
Blade Incised with Animal Masks,,,960– 1279,1979.75 ,Jade,https://www.clevelandart.org/art/1979.75,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B238AC3EA285B14EF7D45464DF9D7FEA8FBE2A7A36F7B86CE&s=24247294&se=1575394594&v=0&f=1979.75_o10.jpg
The Ninth Day Literary Gathering at Xing’an,Fang Shishu,"(Chinese, 1693–1751)",1743,1979.72 ,Handscroll; ink and color on silk,https://www.clevelandart.org/art/1979.72,https://piction.clevelandart.org/cma/ump.di?e=01C5ADF2D598CDDEB42ACEDFAD0654B5E82ECE04DE41654D451494ADC59133D6&s=24247294&se=1063136612&v=7&f=1979.72det00_o10.jpg
Snow Coloring the World White,Fa Ruozhen,"(Chinese, 1613–1696)",1690,1979.76 ,"Handscroll, ink on paper",https://www.clevelandart.org/art/1979.76,https://piction.clevelandart.org/cma/ump.di?e=02DA736077B04739A8480B1BD494378588F0715920E07968DC6EADF8651C26B0&s=24247294&se=1575394594&v=1&f=%5Cd1973%5Cu187819732%5C1979.76_o10.jpg
Jar with Dragon and Phoenix Design,,,1522–66,1972.14 ,Carved lacquer in cinnabar and other colors,https://www.clevelandart.org/art/1972.14,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464BF0AACEB4F729CD6203270349AC0C4E69E300E6FAD8B3F45B&s=24247294&se=1044455093&v=0&f=1972.14_o10.jpg
A Hundred Birds and the Three Friends,Bian Wenjin,"(Chinese, about 1354–1428)",1400–1425,1980.12 ,"Hanging scroll, ink and color on silk",https://www.clevelandart.org/art/1980.12,https://piction.clevelandart.org/cma/ump.di?e=E40B3CF85AD508724AE4C8C50DF5EF3D86ECB543519B4409D99E9B05D0B78883&s=24247294&se=1573793027&v=0&f=1980.12_o10.jpg
Plum Blossoms and Peonies,Gao Fenghan,"(Chinese, 1683–1749)",1741,1980.13 ,"Handscroll, ink on paper",https://www.clevelandart.org/art/1980.13,https://piction.clevelandart.org/cma/ump.di?e=389885F7424F5383FAEB09A563672C8D2EBF1C2F0C23D5465B3214556D197648&s=24247294&se=1351369762&v=0&f=1980.13_o10.jpg
Caparisoned Elephant,,,c. 1000s,1980.24 ,Gilt bronze,https://www.clevelandart.org/art/1980.24,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8ACA7B1112742C3C4EDA5F79BF661767A15D13E3D46DD2CA0&s=24247294&se=1351369762&v=0&f=1980.24_o10.jpg
Mt. Qingbian,Dong Qichang,"(Chinese, 1555–1636)",1617,1980.10 ,"Hanging scroll, ink on paper",https://www.clevelandart.org/art/1980.10,https://piction.clevelandart.org/cma/ump.di?e=B2BC5BD15701CB0774276B51E110CE67449D52E40491EEB4DC77A9163BFAA813&s=24247294&se=1573793027&v=5&f=1980.10_o10.jpg
Ascetic Holding a Skull,,,c. 500,1980.25 ,Gilt bronze,https://www.clevelandart.org/art/1980.25,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA89EA692CC945C663627DB3DBE63086FE20B45D66F1F9255E1&s=24247294&se=1351369762&v=0&f=1980.25_o10.jpg
Teapot with Gold Leaf Landscape and Imperial Poem,Chen Hanwen,"(Chinese, active c. 1720s–90s)",1762–95,1980.27 ,"Stoneware with gold leaf decoration, Yixing ware",https://www.clevelandart.org/art/1980.27,https://piction.clevelandart.org/cma/ump.di?e=0EA08826AFAB664E64C55DBB900A9AAB09BD32692452B0003694BD8F0B0CDEC0&s=24247294&se=860783020&v=0&f=1980.27_o10.jpg
Standing Guanyin,,,1127–1279,1980.80 ,"Wood with traces of gesso, polychromy and gilding",https://www.clevelandart.org/art/1980.80,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA890AF7FD322029BBFA2046A60B3FEC0F1A3B4D56016079C92&s=24247294&se=1351369762&v=5&f=1980.80_o10.jpg
Jar with Scenes from the Land of Daoist Immortals,,,early 1400s,1972.63 ,Porcelain with underglaze blue decoration,https://www.clevelandart.org/art/1972.63,https://piction.clevelandart.org/cma/ump.di?e=E9F5B90E4A32527AF565109DB46536BE4A2F0949AE029FF6971A284F850EE785&s=24247294&se=1044455093&v=1&f=%5Cd0200%5Cu2902006%5C1972.63_o10.jpg
Bowl,,,1723–35,1980.73 ,Porcelain with overglaze enamel decoration,https://www.clevelandart.org/art/1980.73,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CFF0A297211AD9F7764AD39415216B0C1F9748A01FD3979D44&s=24247294&se=1048690644&v=6&f=1980.73_o10.jpg
New Year's Day in a Village at Stone Lake,Li Shida,"(Chinese, c. 1549-c. 1621)",1609,1980.178 ,Album leaf; ink and light color on paper,https://www.clevelandart.org/art/1980.178,https://piction.clevelandart.org/cma/ump.di?e=C8021387EE08F63064C30ED87D53E633F5F05C2945AA8346E18A853434C898F9&s=24247294&se=1456447899&v=3&f=%5Cd8888%5Cu282588882%5C1980.178_o10.jpg
Winged Chimera (Bixie),,,400s,1980.184 ,Bronze,https://www.clevelandart.org/art/1980.184,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8E9F945EF8722D862FD8980E304F106E4B5110A37411110B1&s=24247294&se=1351369762&v=0&f=1980.184_o10.jpg
Cup and Stand,,,1100s,1980.185 ,"Porcelain with pale bluish-white glaze, qingbai (""blue-white"") ware",https://www.clevelandart.org/art/1980.185,https://piction.clevelandart.org/cma/ump.di?e=309471131E1BDAF7EFD4704C118B4EBF1890AE093B26C4DEBC78A640D3FAAF3D&s=24247294&se=913805914&v=0&f=1980.185_o10.jpg
Vase (Meiping) with Waves,,,1200s–1300s,1980.186 ,"Glazed stoneware with slip painted decoration, Jizhou ware",https://www.clevelandart.org/art/1980.186,https://piction.clevelandart.org/cma/ump.di?e=0E69E73DAC21794D30DDCEFA6C8C05BD538A3BCF9C5C93929645F0F46F4AAFE7&s=24247294&se=913805914&v=5&f=1980.186_o10.jpg
Chimera with Seal,,,c. 3rd Century,1980.295 ,Bronze,https://www.clevelandart.org/art/1980.295,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D4590969DDA7226211C5DA96E7F12BBD4EFC5A4E09006F9BFDB5E5A&s=24247294&se=1351369762&v=1&f=%5Cd3336%5Cu2833369%5C1980.295_o10.jpg
Swallow and Lotus,Fachang Muqi,"(Chinese, 1220–1280)",mid-1200s,1981.34 ,"Hanging scroll, ink on silk",https://www.clevelandart.org/art/1981.34,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512FB6DC9C31F871846E97A5CD679931340CF929F37DD48A52D0&s=24247294&se=703004430&v=6&f=1981.34_o10.jpg
Li Tieguai; Liu Haichan,,,1300s,1982.29 ,Pair of hanging scrolls; ink and color on silk,https://www.clevelandart.org/art/1982.29,https://piction.clevelandart.org/cma/ump.di?e=B8D67E3961819F56DB6A3DD4BF222C3FD51ACDDF0B071B8FA0E6603A0FBFE50C&s=24247294&se=1240164513&v=1&f=%5Cd6311%5Cu221063118%5C1982.29_o10.jpg
"Dwelling in the Longmian (""Sleeping Dragon"") Mountains",Li Gonglin,"(Chinese, c. 1049–1106)",1100s-1200s,1981.57 ,Handscroll mounted as three album leaves,https://www.clevelandart.org/art/1981.57,https://piction.clevelandart.org/cma/ump.di?e=F5FEC9287CD322AC426B2F67DD022C20D1BDD647EA7F006A1A0E3DD8B61A0301&s=24247294&se=703004430&v=0&f=1981.57_o10.jpg
Bamboo Landscape,,,1127–1279,1981.54 ,"Hanging scroll, ink on silk",https://www.clevelandart.org/art/1981.54,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994C0B78E087DFE276234B0C8F960881195321433D417EC78EC4&s=24247294&se=703004430&v=0&f=1981.54_o10.jpg
Shakyamuni Triad:  Buddha Attended by Manjushri and Samantabhadra,,,1300s,1982.25 ,"Hanging scroll; ink, color, and gold on silk",https://www.clevelandart.org/art/1982.25,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE73C4714034B6F7D4DAD02139D31866BB0F4A67A2FED91961&s=24247294&se=124271033&v=0&f=1982.25_o10.jpg
"""Seventh Month"" from the Odes of Bin (Binfeng)",,,1200s,1980.187 ,Handscroll; ink and color on silk,https://www.clevelandart.org/art/1980.187,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512F70B9EE35EF92DFBCEC5DCDEFA66A61E60A5F3B6F78E26747&s=24247294&se=1573793027&v=16&f=1980.187_o10.jpg
A Hundred Sparrows in a Lofty Grove,Lin Liang,"(Chinese, 1416–1480)",1368–1644,1981.4 ,"Handscroll, ink on silk",https://www.clevelandart.org/art/1981.4,https://piction.clevelandart.org/cma/ump.di?e=6FE10EB72877704D6EDA83ABE5FEDBF7C9A0D603032F1B7C6D808418D56AE7EA&s=24247294&se=703004430&v=13&f=1981.4_o10.jpg
Landscape Ink-Play,Fang Congyi,"(Chinese, active c. 1340–1380)",1300s,1982.34 ,"Hanging scroll, ink and color on paper",https://www.clevelandart.org/art/1982.34,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994C2D6A4CD8357F0E26A8FC8F77E61200E201A410F6D16AEC88&s=24247294&se=1240164513&v=0&f=1982.34_o10.jpg
Willow and Magpie,Fachang Muqi,"(Chinese, 1220–1280)",mid-1200s,1982.53 ,"Hanging scroll, ink on paper",https://www.clevelandart.org/art/1982.53,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512F08CF7E0031994EB9547158E9B46C329FC01E6476D94CB01C&s=24247294&se=1240164513&v=3&f=1982.53_o10.jpg
Portrait of an Official,,,1600s-1700s,1982.35 ,Hanging scroll; ink and color on silk,https://www.clevelandart.org/art/1982.35,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AEDD9DE4059572EDCD189D054884DA2830247A80F48B25AE5D&s=24247294&se=703004430&v=6&f=1982.35_o10.jpg
Bamboo and Rock,Zheng Xie,"(Chinese, 1693–1765)",1765,1982.54 ,"Hanging scroll, ink on paper",https://www.clevelandart.org/art/1982.54,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F701E2BEAABB33E87A50E2E9E33162C540B5760D622D3DD3D&s=24247294&se=1240164513&v=3&f=1982.54_o10.jpg
Album of Landscape Painting Illustrating Old Poems,Hua Yan,"(Chinese, 1682–c. 1765)",1745,1982.68 ,Album of twelve leaves; ink and light color on paper,https://www.clevelandart.org/art/1982.68,https://piction.clevelandart.org/cma/ump.di?e=8C2181F215DB89C11E1C333B3645949CE0B4A1B0473687DB1EFF128C1086D821&s=24247294&se=1240164513&v=0&f=1982.68_o10.jpg
Pair of Stools,,,1700–1725,1982.114 ,Chicken-wing wood (jichimu),https://www.clevelandart.org/art/1982.114,https://piction.clevelandart.org/cma/ump.di?e=B1F4E47B73EEA55C73C18B0E0F8BFF70EE9047B6A5030F080CF2D1640979C4EB&s=24247294&se=1240164513&v=1&f=%5Cd4949%5Cu19049497%5C1982.114_o10.jpg
Table to hold a chest,,,early 1700s,1982.116 ,Rosewood (huanghuali),https://www.clevelandart.org/art/1982.116,https://piction.clevelandart.org/cma/ump.di?e=B1F4E47B73EEA55C29EF118035318377B6F755AFF1DA2A4E2701DF7EE0CE966B&s=24247294&se=1240164513&v=1&f=%5Cd2214%5Cu2822148%5C1982.116_o10.jpg
Small Chest with Inner Drawers,,,1700s,1982.117 ,Rosewood (huanghuali) and metal,https://www.clevelandart.org/art/1982.117,https://piction.clevelandart.org/cma/ump.di?e=B1F4E47B73EEA55C11F29545BCE8F395DE59CCC75AB52E9EF9F068562B40301C&s=24247294&se=1240164513&v=1&f=%5Cd2216%5Cu2822168%5C1982.117_o10.jpg
Small Oblong Two-Drawer Chest,,,1800s,1982.118 ,Chicken-wing wood (jichimu),https://www.clevelandart.org/art/1982.118,https://piction.clevelandart.org/cma/ump.di?e=B1F4E47B73EEA55C4B0FBE106E0F53C367838E357208C2949C1BEAD98FC34716&s=24247294&se=1240164513&v=1&f=%5Cd2218%5Cu2822188%5C1982.118_o10.jpg
Ink Bamboo,,,1200s,1982.138 ,"Hanging scroll, ink on silk",https://www.clevelandart.org/art/1982.138,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994CC3BB883857DECE8124840D928C20F213A0578225EA614B60&s=24247294&se=1240164513&v=0&f=1982.138_o10.jpg
Wine Cup (Jue),,,c. 1400 BC,1982.148 ,Bronze,https://www.clevelandart.org/art/1982.148,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B3E9BDB566508E5DB9F1F4D89F20A8419D148EB304E975A73&s=24247294&se=1240164513&v=0&f=1982.148_o10.jpg
Bamboo in Four Seasons: Summer and Winter,,,1279–1368,1982.150 ,"Hanging scroll, ink on silk",https://www.clevelandart.org/art/1982.150,https://piction.clevelandart.org/cma/ump.di?e=B8D67E3961819F56CB3E7C52169493A0784F3B0A1164864201D1B08591292168&s=24247294&se=1240164513&v=1&f=%5Cd6284%5Cu221062844%5C1982.150_o10.jpg
Sections of a Coffin Platform,,,550–577,1982.260 ,Limestone,https://www.clevelandart.org/art/1982.260,https://piction.clevelandart.org/cma/ump.di?e=B38D82AF4F7DB34B0589B819C10D2732B57A71CE4AB05F238C269F888087F235&s=24247294&se=935317823&v=0&f=1982.260_o10.jpg
Pair of Stools,,,1644–1911,1982.262 ,Ironwood (tielimu),https://www.clevelandart.org/art/1982.262,https://piction.clevelandart.org/cma/ump.di?e=B1F4E47B73EEA55CE09583661E3F259D292D8311EA18B9D3BE39FA6E87D02F6A&s=24247294&se=935317823&v=1&f=%5Cd4952%5Cu19049528%5C1982.262_o10.jpg
Tao Yuanming's Return Home,,,1300s,1982.152 ,"Handscroll, ink and slight color on silk",https://www.clevelandart.org/art/1982.152,https://piction.clevelandart.org/cma/ump.di?e=01C5ADF2D598CDDEAA286B658A1A18B3ABFF043DA60F5F67ED6A671B9DB39E4C&s=24247294&se=1240164513&v=16&f=1982.152det01_o10.jpg
Dog,,,AD 25–220,1983.1 ,Earthenware with lead glaze,https://www.clevelandart.org/art/1983.1,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8AED3E2893BC047531AA9CD173992F51EEA3E2734A01E70C7&s=24247294&se=935317823&v=6&f=1983.1_o10.jpg
Female Dancer:  Tomb Figurine,,,650–700,1983.26 ,Earthenware with polychromy,https://www.clevelandart.org/art/1983.26,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D459096ACF073614C9A29692442AF38B891563406D2D9BA58DAF6DF&s=24247294&se=935317823&v=1&f=%5Cd6733%5Cu2867339%5C1983.26_o10.jpg
Court Lady with High Chignon,,,c. 700–750,1983.25 ,Earthenware with polychromy,https://www.clevelandart.org/art/1983.25,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8B8E90688C51716F009BAF204930E9742E23324B920CF7CBA&s=24247294&se=935317823&v=0&f=1983.25_o10.jpg
Ceremonial Dagger-Axe with Animal Masks (Ge),,,c. 1600–1050 BC,1983.2 ,Jade (nephrite),https://www.clevelandart.org/art/1983.2,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AA5B424518A2870FF534365A535AEA7E01BDE7FB079264254&s=24247294&se=935317823&v=6&f=1983.2_o10.jpg
Bodhisattva,,,early 700s,1983.76 ,Light gray limestone with traces of polychromy,https://www.clevelandart.org/art/1983.76,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8271C9552CE3F3B108DAABCC8B067DD7141A8358318486F82&s=24247294&se=935317823&v=0&f=1983.76_o10.jpg
Pillow with Mandarin Duck: Cizhou Ware,,,12th-13th Century,1983.27 ,"Earthenware, incised and slip-coated with three color glaze",https://www.clevelandart.org/art/1983.27,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CF6EF8D4059266D33B406816D1322F19543AF006582E4087C0&s=24247294&se=935317823&v=1&f=%5Cd8503%5Cu2885039%5C1983.27_o10.jpg
Candlestand in the shape of Lion,,,AD 265–316,1983.77 ,"Glazed stoneware with molded and incised decoration, Yue ware",https://www.clevelandart.org/art/1983.77,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E8A6FD4767E36DB67F645113CF667C141FC18E3DE175D87365&s=24247294&se=913805914&v=1&f=%5Cd7342%5Cu3173424%5C1983.77_o10.jpg
Jar with Handles: Yue ware,,,c. 800s,1983.78 ,Gray stoneware with iron glaze,https://www.clevelandart.org/art/1983.78,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E88D3C7F65E4A1F264EA9DF27A1559777F10B3D1821D1876BA&s=24247294&se=935317823&v=0&f=1983.78_o10.jpg
Listening to the Qin (Zither),Liu Songnian,"(Chinese, c. 1150-after 1225)",1150–after 1225,1983.85 ,Album leaf; ink and slight color on silk,https://www.clevelandart.org/art/1983.85,https://piction.clevelandart.org/cma/ump.di?e=01C5ADF2D598CDDEFC28676558C822C96CB100D57CCDE5654172C44F5EDE1B5D&s=24247294&se=1707839704&v=4&f=1983.85_o10.jpg
Jar: Cizhou ware,,,1271–1368,1983.87 ,"Stoneware with slip coating, turquoise glaze and painted underglaze decoration",https://www.clevelandart.org/art/1983.87,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CFE93AC23D064DA461C6EF64A1A3DFA67AF480ED3DFB85E2BF&s=24247294&se=935317823&v=1&f=%5Cd8501%5Cu2885019%5C1983.87_o10.jpg
Mirror with Xiwangmu,,,c. AD 317–400,1983.213 ,Bronze,https://www.clevelandart.org/art/1983.213,https://piction.clevelandart.org/cma/ump.di?e=759357B86A0AD4F4C8783540D1C911C04213A9CD3DBB3C117A49EA7527D35708&s=24247294&se=1380809992&v=0&f=1983.213_o10.jpg
Bodhisattva,,,700s,1983.86 ,Dry lacquer,https://www.clevelandart.org/art/1983.86,https://piction.clevelandart.org/cma/ump.di?e=EAD82D6C274EE159F441ED4D2F478F409C6108E4300C1C1EC7DB27C8DBAD58E3&s=24247294&se=429512564&v=6&f=1983.86_o10.jpg
Jar:  Proto-Yue ware,,,AD 265–317,1984.5 ,"Gray stoneware with combed, impressed, molded and applied decoration under iron glaze",https://www.clevelandart.org/art/1984.5,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E85731D5337E66EB50CA6EF7A8A5394848D5ED9A7367698478&s=24247294&se=935317823&v=0&f=1984.5_o10.jpg
Tripod Container with Dragon-Head Handle (Zhadou),,,500s,1983.214 ,Bronze,https://www.clevelandart.org/art/1983.214,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B209ACDCED29561666C63A10F87791E5D5E2EF7A9FD98A5F1&s=24247294&se=935317823&v=0&f=1983.214_o10.jpg
Hare,,,early 700s,1984.6 ,White marble,https://www.clevelandart.org/art/1984.6,https://piction.clevelandart.org/cma/ump.di?e=2164CEA9C74806074A5D59AD713175C12D912CB9946A1B18567A55001D1F39AA&s=24247294&se=935317823&v=0&f=1984.6_o10.jpg
Fluted Ring with Dragon Head (Huan),,,475–221 BC,1985.75 ,Jade (nephrite),https://www.clevelandart.org/art/1985.75,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A55DD84D473714C4FEEE4FC542295AF25481CE066331CFC36&s=24247294&se=166542550&v=0&f=1985.75_o10.jpg
Water and Moon (Potala) Guanyin,,,900–1100,1984.7 ,Gilt bronze,https://www.clevelandart.org/art/1984.7,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA810EC7597049C1573FAF184695EA3183ADFD82769EF0B4455&s=24247294&se=935317823&v=0&f=1984.7_o10.jpg
Waterfowl and Reeds,Liang Kai,"(Chinese, mid-1100s-early 1200s)",early 1200s,1984.42 ,Hanging scroll; ink on silk,https://www.clevelandart.org/art/1984.42,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512FC415F151CDD69794BC7C60213B655DF0218F9850CAE15CAF&s=24247294&se=543367459&v=6&f=1984.42_o10.jpg
Ten Bamboo Studio Painting and Calligraphy Handbook (Shizhuzhai shuhua pu),Hu Zhengyan,"(Chinese, c. 1584–1674)",1675–1800,1984.45 ,Color woodblock,https://www.clevelandart.org/art/1984.45,https://piction.clevelandart.org/cma/ump.di?e=F5FEC9287CD322AC2A74920E7F924D453C0EE3E1B8FE9C535AC797C8422A9E5D&s=24247294&se=913805914&v=1&f=%5Cd0385%5Cu18403856%5C1984.45_o10.jpg
Album of Miscellaneous Subjects,Min Zhen,"(Chinese, 1730-after 1788)",1788,1985.71 ,Album of twelve leaves; ink on paper,https://www.clevelandart.org/art/1985.71,https://piction.clevelandart.org/cma/ump.di?e=FB906FC9EF4B82EFDCFB108F0AA247B2AFAEF27F05F2303FE2ED0AA11A53B4C5&s=24247294&se=1776552552&v=1&f=%5Cd2980%5Cu221829802%5C1985.71_o10.jpg
Frieze Fragment with Chariot Procession,,,AD 100s,1985.73 ,Stone carved in low relief with engraved detail,https://www.clevelandart.org/art/1985.73,https://piction.clevelandart.org/cma/ump.di?e=26EC065E15955F0957C543FFA9ACC1FAE8841C7AEE0F3451BC2D9AA509E57A4F&s=24247294&se=888741988&v=1&f=%5Cd0078%5Cu236000782%5C1985.73_o10.jpg
Recumbent Bull,,,700s,1985.74 ,Gilt bronze,https://www.clevelandart.org/art/1985.74,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D4590966FABF38A60E72B5B4B20288DC721B203022613D7E84DB199&s=24247294&se=792573221&v=1&f=%5Cd5519%5Cu2855192%5C1985.74_o10.jpg
Spouted Bowl,,,1300s,1985.109 ,"Celadon-glazed stoneware spotted with copper red, Longquan ware",https://www.clevelandart.org/art/1985.109,https://piction.clevelandart.org/cma/ump.di?e=E9F5B90E4A32527A04248009C636EC564CB7D355A7C02BDD875235343D2DA0C3&s=24247294&se=672506398&v=2&f=%5Cd8537%5Cu2885379%5C1985.109_o10.jpg
Chariot Handle Bar Cap,,,475–221 BC,1985.128 ,Bronze inlaid with silver,https://www.clevelandart.org/art/1985.128,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464BFC458773B53AE6D5F0A08D72E9E6510EAB430841D182B1D8&s=24247294&se=1949138686&v=0&f=1985.128_o10.jpg
Insects and Bamboo,,,1200s,1985.364 ,Album leaf; ink and light color on silk,https://www.clevelandart.org/art/1985.364,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512FB12B234FA0509497E3BE3AE67D15DE5C59CBD6DB891ED114&s=24247294&se=956328678&v=6&f=1985.364_o10.jpg
Willows,,,1100s,1985.365 ,Album leaf; ink and light color on silk,https://www.clevelandart.org/art/1985.365,https://piction.clevelandart.org/cma/ump.di?e=C8021387EE08F630E2B175C9C6A33A15E059A4300300053B63B2AE4AFD234083&s=24247294&se=913805914&v=3&f=%5Cd8923%5Cu282589230%5C1985.365_o10.jpg
Birds on an Autumn Inlet,,,c. 1200,1985.369 ,Album leaf; ink and color on silk,https://www.clevelandart.org/art/1985.369,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512FF10C4E269EEFC1FCCA38E7893318A927AEA8AABAF4E22C3E&s=24247294&se=1707839704&v=2&f=1985.369_o10.jpg
Birds on a Peach Branch,,,1100s,1985.367 ,Album leaf; ink and light color on silk,https://www.clevelandart.org/art/1985.367,https://piction.clevelandart.org/cma/ump.di?e=76BFD052B966B765E152D9BBD1291577AC4279B517DC5E660C8598F7DBD621DA&s=24247294&se=792573221&v=3&f=%5Cd5862%5Cu299558622%5C1985.367_o10.jpg
Empty Arbor and Rapid Waterfall,Zhang Ning,"(Chinese, 1426-c. 1495)",1468,1985.368 ,"Hanging scroll, ink and color on paper",https://www.clevelandart.org/art/1985.368,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994CF30BC8D92D88A386F3F3CE4CEE3F63D014F88EBF67113760&s=24247294&se=1645109230&v=0&f=1985.368_o10.jpg
Plum Blossoms,Wang Shishen,"(Chinese, 1686–1759)",probably 1739,1985.366 ,Hanging scroll; ink on paper,https://www.clevelandart.org/art/1985.366,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994C186DF50ED04538D9252ECD43109AF57AE16E2737CFD33A55&s=24247294&se=1013549012&v=0&f=1985.366_o10.jpg
Lion,,,618–907,1985.374 ,Marble,https://www.clevelandart.org/art/1985.374,
Landscapes,Zhai Dakun,"(Chinese, d. 1804)",1775,1986.49 ,"Album of twelve leaves, ink and color on silk",https://www.clevelandart.org/art/1986.49,https://piction.clevelandart.org/cma/ump.di?e=8C2181F215DB89C170086A766C178FF66A0399FC09547B2CC4DA48E0DD131016&s=24247294&se=860783020&v=0&f=1986.49_o10.jpg
Lion Devouring a Lamb,,,early 700s,1985.373 ,White marble,https://www.clevelandart.org/art/1985.373,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA88745FB26650923CFE71C3E6B904B23D88E297F7DD7E11D8C&s=24247294&se=1645109230&v=0&f=1985.373_o10.jpg
Jar,,,1200s–1300s,1986.14 ,"Glazed stoneware with resist and slip-painted decoration, Jizhou ware",https://www.clevelandart.org/art/1986.14,https://piction.clevelandart.org/cma/ump.di?e=F5DB0801F450918F9031B8F0F1AB561001D17D355A03F8A006487BF989EC5496&s=24247294&se=1472409845&v=6&f=1986.14_o10.jpg
Two Horses,Yu Yuan,"(Chinese, active 1700s)",1644–1911,1985.372 ,Hanging scroll; ink and color on silk,https://www.clevelandart.org/art/1985.372,https://piction.clevelandart.org/cma/ump.di?e=3C003D0B61A0994C0DB8A2B246F7C83CC9E56E4AFBFCF620128D450F3F26B5AE&s=24247294&se=1645109230&v=0&f=1985.372_o10.jpg
